epoch	loss	acc	val_loss	val_acc
0	4.67323790652172	0.01965065502324864	4.417593530931524	0.04214122996650687
1	4.162446540380217	0.07081830264048805	3.84012656458056	0.11845102514746339
2	3.7022969068647087	0.12454907917503345	3.4841380981034007	0.17350037963940687
3	3.3268098441432317	0.1892918169651218	3.12710652119659	0.24905087334374723
4	3.0769009013906565	0.23913043481655857	2.859668917065782	0.3018223231229804
5	2.8349435906584945	0.29513954815249843	2.6881751762526274	0.3272589219956119
6	2.626880060320496	0.33804822481853225	2.5046164982230175	0.3686408500102948
7	2.444916672966434	0.38114676281784343	2.326276382172569	0.4191343966495294
8	2.319349741243153	0.4004176951335145	2.2469309735859353	0.4301442675682841
9	2.16192537257584	0.44066831205292717	2.089634549554406	0.4760820047820981
10	2.038938183677656	0.46686918549458895	2.0574169633238264	0.4806378139812293
11	1.935811605153827	0.49155116763630063	1.8634723308146135	0.535307516857993
12	1.7898716206384924	0.5284792101652545	1.7704899697568077	0.5482156418360086
13	1.6726855382716517	0.5523068159903524	1.7833905685282876	0.5512528467015416
14	1.6006755485058464	0.5793620657373113	1.6936894373723568	0.5671981769976692
15	1.5101204013742984	0.6041389785852699	1.5524447546280418	0.5960516325886175
16	1.4316385789548556	0.6250237326638305	1.5003870763648344	0.6119969626584556
17	1.3608009126939153	0.6404974369276673	1.4313928237356013	0.6324981018369091
18	1.2846285436554925	0.6593886462655764	1.3810163214067301	0.6389521640996274
19	1.2223400250091394	0.6764761724507353	1.3396743969566096	0.6454062261360562
20	1.1632248422600229	0.6981203721849294	1.3275800521571073	0.6548974939431761
21	1.112339690081508	0.701063223937125	1.2749086539674728	0.6685649206806695
22	1.0587244492589307	0.7172014429805988	1.238878300086784	0.6807137439897228
23	1.018296022613881	0.7284981964185384	1.2443802231808188	0.6814730449798166
24	0.9542889658178485	0.7434972470436328	1.1426177160614988	0.7008352317679716
25	0.8988301979538067	0.7607746344715363	1.137670133090327	0.7057706911453444
26	0.8739830130799255	0.7649515852974333	1.0723661893954672	0.720197418329837
27	0.8128736896512176	0.7862160622292731	1.0766234675771644	0.7247532275289682
28	0.7805416176956022	0.7959939243898958	1.0489567069275956	0.7190584657132489
29	0.7631013195927057	0.7969432314636813	1.0133855806305812	0.7384206532707881
